Name,OID,Description
audiolog,.1.3.6.1.4.1.5166.1,
audiologReg,.1.3.6.1.4.1.5166.1.1,
audiologModules,.1.3.6.1.4.1.5166.1.1.1,
audiologGlobalRegModule,.1.3.6.1.4.1.5166.1.1.1.1,
audiologMibModule,.1.3.6.1.4.1.5166.1.1.1.2,
audiologRegProducts,.1.3.6.1.4.1.5166.1.1.2,
audiologAlmasterReg,.1.3.6.1.4.1.5166.1.1.2.1,Audiolog ALMaster Module
audiologArchiverReg,.1.3.6.1.4.1.5166.1.1.2.2,Audiolog Call Archiver Module
audiologRecorderReg,.1.3.6.1.4.1.5166.1.1.2.3,Audiolog Call Recorder Module
audiologCallManagerReg,.1.3.6.1.4.1.5166.1.1.2.4,Audiolog Call Manager Module
audiologGeneric,.1.3.6.1.4.1.5166.1.2,
audiologProducts,.1.3.6.1.4.1.5166.1.3,
audiologServer,.1.3.6.1.4.1.5166.1.3.1,
audiologConformance,.1.3.6.1.4.1.5166.1.3.1.1,
audiologConfGroups,.1.3.6.1.4.1.5166.1.3.1.1.1,
alObjectGroup,.1.3.6.1.4.1.5166.1.3.1.1.1.1,AudioLog objects
alNotificationGroup,.1.3.6.1.4.1.5166.1.3.1.1.1.2,The events for Audiolog
audiologConfCompliances,.1.3.6.1.4.1.5166.1.3.1.1.2,
alBasicComplV1,.1.3.6.1.4.1.5166.1.3.1.1.2.1,The basic implementation requirements for Audiolog MIB
audiologObjects,.1.3.6.1.4.1.5166.1.3.1.2,
alGenericErrorObject,.1.3.6.1.4.1.5166.1.3.1.2.19,
alGenericErrorName,.1.3.6.1.4.1.5166.1.3.1.2.19.1,Used ONLY in an alGenericError
alGenericErrorType,.1.3.6.1.4.1.5166.1.3.1.2.19.2,Used ONLY in an alGenericError
alGenericErrorStatus,.1.3.6.1.4.1.5166.1.3.1.2.19.3,Used ONLY in an alGenericError
alGenericErrorMsg,.1.3.6.1.4.1.5166.1.3.1.2.19.4,Used in a NOTIFICATION-TYPE as the TRAP description
alLogViewObject,.1.3.6.1.4.1.5166.1.3.1.2.20,
