Linux 3.10.0-514.16.1.el7.x86_64 (localhost.localdomain) 	04/26/2017 	_x86_64_	(4 CPU)

08:53:03 AM    idgm/s    odgm/s  noport/s idgmerr/s
08:53:04 AM      0.00      0.00      0.00      0.00
08:53:05 AM      0.00      0.00      0.00      0.00
08:53:06 AM      0.00      0.00      0.00      0.00
08:53:07 AM      3.00      3.00      0.00      0.00
08:53:08 AM      0.00      0.00      0.00      0.00
08:53:09 AM      0.00      0.00      0.00      0.00
08:53:10 AM      0.00      0.00      0.00      0.00
08:53:11 AM      0.00      0.00      0.00      0.00
08:53:12 AM      0.00      0.00      0.00      0.00
08:53:13 AM      0.00      0.00      0.00      0.00
08:53:14 AM      0.00      0.00      0.00      0.00
08:53:15 AM      0.00      0.00      0.00      0.00
08:53:16 AM      0.00      0.00      0.00      0.00
08:53:17 AM      0.00      0.00      0.00      0.00
08:53:18 AM      3.00      3.00      0.00      0.00
08:53:19 AM      0.00      0.00      0.00      0.00
08:53:20 AM      0.00      0.00      0.00      0.00
08:53:21 AM      0.00      0.00      0.00      0.00
08:53:22 AM      0.00      0.00      0.00      0.00
08:53:23 AM      0.00      0.00      0.00      0.00
08:53:24 AM      0.00      0.00      0.00      0.00
08:53:25 AM      0.00      0.00      0.00      0.00
08:53:26 AM      0.00      0.00      0.00      0.00
08:53:27 AM      0.00      0.00      1.00      0.00
08:53:28 AM      0.00      0.00      0.00      0.00
08:53:29 AM      3.00      3.00      0.00      0.00
08:53:30 AM      0.00      0.00      0.00      0.00
08:53:31 AM      0.00      0.00      0.00      0.00
08:53:32 AM      0.00      0.00      0.00      0.00
08:53:33 AM      0.00      0.00      0.00      0.00
08:53:34 AM      0.00      0.00      0.00      0.00
08:53:35 AM      0.00      0.00      0.00      0.00
08:53:36 AM      0.00      0.00      0.00      0.00
08:53:37 AM      0.00      0.00      0.00      0.00
08:53:38 AM      0.00      0.00      0.00      0.00
08:53:39 AM      0.00      0.00      0.00      0.00
08:53:40 AM      3.00      3.00      0.00      0.00
08:53:41 AM      0.00      0.00      0.00      0.00
